Date,Forecast_SARIMAX,Forecast_LSTM,Forecast_Hybrid,mean_ci_upper,mean_ci_lower,Mineral
2024-05-01,-1.455654801504106e-45,0.000640297,0.0002561188011895865,0.0004558771284327785,-0.0004558771284327785,Cobalt-MattesIntermediates
2024-06-01,-2.705619250683381e-45,0.00072282535,0.00028913014102727175,0.0009895757800876374,-0.0009895757800876374,Cobalt-MattesIntermediates
2024-07-01,-3.7789582886184955e-45,0.0008074282,0.00032297128927893937,0.0015869733619048546,-0.0015869733619048546,Cobalt-MattesIntermediates
2024-08-01,-4.700629853847343e-45,0.000895434,0.00035817359457723796,0.00221952231403254,-0.00221952231403254,Cobalt-MattesIntermediates
2024-09-01,-5.4920652196806945e-45,0.0009865712,0.00039462847053073347,0.002869533446964734,-0.002869533446964734,Cobalt-MattesIntermediates
2024-10-01,-6.171667327331965e-45,0.0010806008,0.0004322403110563755,0.0035254645422057936,-0.0035254645422057936,Cobalt-MattesIntermediates
2024-11-01,-6.755238702409106e-45,0.0011773539,0.000470941566163674,0.004179582743607961,-0.004179582743607961,Cobalt-MattesIntermediates
2024-12-01,-7.256348904945702e-45,0.00123327,0.0004933080053888261,0.004826662491436148,-0.004826662491436148,Cobalt-MattesIntermediates
2025-01-01,-7.686650057145077e-45,0.0012853794,0.0005141517613083124,0.005463193199829351,-0.005463193199829351,Cobalt-MattesIntermediates
2025-02-01,-8.056147785682321e-45,0.0013334267,0.0005333707085810602,0.00608686661221272,-0.00608686661221272,Cobalt-MattesIntermediates
2025-03-01,-8.37343387868103e-45,0.0013769598,0.0005507839377969503,0.00669623049331673,-0.00669623049331673,Cobalt-MattesIntermediates
2025-04-01,-8.6458860672477e-45,0.0014155577,0.0005662231124006212,0.007290447352799282,-0.007290447352799282,Cobalt-MattesIntermediates
2025-05-01,-8.879839577006699e-45,0.0014488321,0.0005795328761450946,0.007869122545945649,-0.007869122545945649,Cobalt-MattesIntermediates
2025-06-01,-9.080734438657482e-45,0.0014764253,0.0005905701545998454,0.008432179801133767,-0.008432179801133767,Cobalt-MattesIntermediates
2025-07-01,-9.253241982909593e-45,0.0015010217,0.0006004087044857442,0.008979770037508394,-0.008979770037508394,Cobalt-MattesIntermediates
2025-08-01,-9.401373461133381e-45,0.0015227771,0.0006091108662076294,0.009512204034570907,-0.009512204034570907,Cobalt-MattesIntermediates
2025-09-01,-9.528573317440514e-45,0.0015418712,0.0006167485262267292,0.01002990246681198,-0.01002990246681198,Cobalt-MattesIntermediates
2025-10-01,-9.637799281013979e-45,0.0015585283,0.0006234113243408501,0.010533358739175033,-0.010533358739175033,Cobalt-MattesIntermediates
2025-11-01,-9.731591141043643e-45,0.0015730133,0.0006292053149081767,0.011023111350138356,-0.011023111350138356,Cobalt-MattesIntermediates
2025-12-01,-9.81212980346439e-45,0.00158563,0.0006342520355246961,0.011499723398301584,-0.011499723398301584,Cobalt-MattesIntermediates
2026-01-01,-9.881288002720398e-45,0.0015967173,0.0006386869354173541,0.011963767473814514,-0.011963767473814514,Cobalt-MattesIntermediates
2026-02-01,-9.940673847736636e-45,0.0016064334,0.0006425734027288854,0.012415814623888357,-0.012415814623888357,Cobalt-MattesIntermediates
2026-03-01,-9.991668214655268e-45,0.001614933,0.0006459731957875192,0.012856426407229265,-0.012856426407229265,Cobalt-MattesIntermediates
2026-04-01,-1.0035456855815817e-44,0.0016223629,0.000648945162538439,0.01328614929193256,-0.01328614929193256,Cobalt-MattesIntermediates
2026-05-01,-1.0073057971596836e-44,0.0016288599,0.0006515439599752426,0.01370551082972045,-0.01370551082972045,Cobalt-MattesIntermediates
2026-06-01,-1.0105345886236479e-44,0.0016345466,0.00065381865715608,0.014115017173291519,-0.014115017173291519,Cobalt-MattesIntermediates
2026-07-01,-1.0133071378156668e-44,0.001639528,0.0006558112218044698,0.014515151604816607,-0.014515151604816607,Cobalt-MattesIntermediates
2026-08-01,-1.0156879137524092e-44,0.0016438888,0.0006575555307790637,0.014906373820691578,-0.014906373820691578,Cobalt-MattesIntermediates
2026-09-01,-1.0177322756981909e-44,0.0016477054,0.0006590822013095021,0.015289119776628222,-0.015289119776628222,Cobalt-MattesIntermediates
2026-10-01,-1.01948776041259e-44,0.0016510463,0.0006604185327887535,0.01566380194247587,-0.01566380194247587,Cobalt-MattesIntermediates
2026-11-01,-1.0209951875043766e-44,0.0016539708,0.0006615883321501315,0.016030809851102588,-0.016030809851102588,Cobalt-MattesIntermediates
2026-12-01,-1.0222896085941267e-44,0.0016565316,0.0006626126705668867,0.01639051085267407,-0.01639051085267407,Cobalt-MattesIntermediates
2027-01-01,-1.0234011223560321e-44,0.0016587739,0.0006635095342062414,0.016743251006590527,-0.016743251006590527,Cobalt-MattesIntermediates
2027-02-01,-1.0243555743907588e-44,0.0016607372,0.0006642948719672859,0.017089356059570415,-0.017089356059570415,Cobalt-MattesIntermediates
2027-03-01,-1.0251751582032275e-44,0.0016624562,0.0006649824790656567,0.0174291324709655,-0.0174291324709655,Cobalt-MattesIntermediates
2027-04-01,-1.0258789312596213e-44,0.0016639614,0.0006655845791101456,0.01776286845616775,-0.01776286845616775,Cobalt-MattesIntermediates
2024-05-01,3902.625223655596,3673.0022,3810.7760619277324,3967.289206384753,3837.961240926439,Copper
2024-06-01,3951.759631127348,3711.4397,3855.6317064107834,4093.313730719521,3810.2055315351745,Copper
