date,mineral,export_value,import_value,trade_balance,dependency_ratio,mom_growth,yoy_growth,ma_3m,ma_12m,year,month,quarter,day_of_year,month_sin,month_cos,lag_1m,lag_3m,lag_6m,lag_12m
2017-04-30,Copper,9178.092883134392,9916.581492561801,-738.4886094274098,51.93375544116993,,,,,2017,4,2,120,0.8660254037844387,-0.4999999999999998,,,,
2017-04-30,Graphite,13439.446361601222,6740.777655664253,6698.668705936969,33.402888143843626,,,,,2017,4,2,120,0.8660254037844387,-0.4999999999999998,,,,
2017-04-30,Lithium,13372.668840869344,11045.563804625675,2327.105036243669,45.23490280801915,,,,,2017,4,2,120,0.8660254037844387,-0.4999999999999998,,,,
2017-05-31,Copper,13310.365496940667,8897.738468198295,4412.627028742372,40.06527744180893,-10.274135548905816,,,,2017,5,2,151,0.49999999999999994,-0.8660254037844387,9916.581492561801,,,
2017-05-31,Graphite,17890.511292063697,9773.41037316039,8117.100918903307,35.32908490500247,44.989359869299726,,,,2017,5,2,151,0.49999999999999994,-0.8660254037844387,6740.777655664253,,,
2017-05-31,Lithium,11277.542310115661,15796.833197455648,-4519.2908873399865,58.346066719204984,43.015182175130164,,,,2017,5,2,151,0.49999999999999994,-0.8660254037844387,11045.563804625675,,,
2017-06-30,Copper,12076.77086273644,11173.893876744603,902.8769859918375,48.05838457500379,25.581280194755006,,9996.071279168233,,2017,6,2,181,1.2246467991473532e-16,-1.0,8897.738468198295,,,
2017-06-30,Graphite,17466.23989321205,7620.473318299174,9845.766574912876,30.376531409473216,-22.028513821271467,,8044.887115707938,,2017,6,2,181,1.2246467991473532e-16,-1.0,9773.41037316039,,,
2017-06-30,Lithium,14948.063087477103,12287.338964165066,2660.7241233120367,45.11532064357463,-22.216441671713326,,13043.245322082128,,2017,6,2,181,1.2246467991473532e-16,-1.0,15796.833197455648,,,
2017-07-31,Copper,14933.404323851108,14565.814440445876,367.5898834052314,49.376949799344985,30.35576139451821,,11545.815595129592,,2017,7,3,212,-0.4999999999999997,-0.8660254037844388,11173.893876744603,9916.581492561801,,
2017-07-31,Graphite,12716.693888138972,14619.58097492463,-1902.8870867856567,53.480516449878124,91.84610147270482,,10671.15488879473,,2017,7,3,212,-0.4999999999999997,-0.8660254037844388,7620.473318299174,6740.777655664253,,
2017-07-31,Lithium,14650.743650373704,7931.450478441637,6719.293171932068,35.12258566726669,-35.45021829728139,,12005.20754668745,,2017,7,3,212,-0.4999999999999997,-0.8660254037844388,12287.338964165066,11045.563804625675,,
2017-08-31,Copper,14324.341847161137,16486.660210893107,-2162.3183637319707,53.5090036339255,13.187355765795616,,14075.456176027861,,2017,8,3,243,-0.8660254037844385,-0.5000000000000004,14565.814440445876,8897.738468198295,,
2017-08-31,Graphite,12127.922225624197,13220.4377580007,-1092.515532376503,52.15500240071206,-9.57033733951559,,11820.164017074834,,2017,8,3,243,-0.8660254037844385,-0.5000000000000004,14619.58097492463,9773.41037316039,,
2017-08-31,Lithium,18571.385852805764,13675.958909785495,4895.426943020269,42.40956584323302,72.42695957010542,,11298.249450797399,,2017,8,3,243,-0.8660254037844385,-0.5000000000000004,7931.450478441637,15796.833197455648,,
2017-09-30,Lithium,9055.415789765402,15877.392841428558,-6821.977051663156,63.680723163952,16.09710840874112,,12494.934076551895,,2017,9,3,273,-1.0,-1.8369701987210297e-16,13675.958909785495,12287.338964165066,,
2017-09-30,Copper,9641.892131421411,13386.484125899246,-3744.5919944778343,58.13038651235222,-18.804148598547,,14812.98625907941,,2017,9,3,273,-1.0,-1.8369701987210297e-16,16486.660210893107,11173.893876744603,,
2017-09-30,Graphite,11275.786928873606,10657.840850099847,617.9460787737589,48.591327241893495,-19.38360101843095,,12832.61986100839,,2017,9,3,273,-1.0,-1.8369701987210297e-16,13220.4377580007,7620.473318299174,,
2017-10-31,Copper,9936.191680344673,14929.859688030094,-4993.668007685421,60.041135871770315,11.5293571307856,,14934.334674940816,,2017,10,4,304,-0.8660254037844386,0.5000000000000001,13386.484125899246,14565.814440445876,9916.581492561801,
2017-10-31,Graphite,14550.687399917078,11392.746537592358,3157.94086232472,43.91379554855513,6.895446252470805,,11757.008381897635,,2017,10,4,304,-0.8660254037844386,0.5000000000000001,10657.840850099847,14619.58097492463,6740.777655664253,
2017-10-31,Lithium,16731.791879636818,12822.657407846196,3909.1344717906213,43.38655504326005,-19.239527950783597,,14125.336386353418,,2017,10,4,304,-0.8660254037844386,0.5000000000000001,15877.392841428558,7931.450478441637,11045.563804625675,
2017-11-30,Copper,8459.176746523444,8990.66816151153,-531.491414988086,51.52291157253597,-39.780625207618435,,12435.670658480289,,2017,11,4,334,-0.5000000000000004,0.8660254037844384,14929.859688030094,16486.660210893107,8897.738468198295,
2017-11-30,Graphite,8467.961520797831,11941.75283666008,-3473.7913158622487,58.51014192315947,4.818910850479985,,11330.780074784096,,2017,11,4,334,-0.5000000000000004,0.8660254037844384,11392.746537592358,13220.4377580007,9773.41037316039,
